year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
2021,52,ศรีสะเกษ,36,36,36,36,0,0,"2023-01-16 07:37:07"
2021,52,นครราชสีมา,111,111,111,111,2,2,"2023-01-16 07:37:07"
2021,52,กระบี่,105,105,93,93,1,1,"2023-01-16 07:37:07"
2021,52,สระแก้ว,39,39,39,39,0,0,"2023-01-16 07:37:07"
2021,52,ประจวบคีรีขันธ์,111,111,105,105,0,0,"2023-01-16 07:37:07"
2021,52,เพชรบุรี,24,24,24,24,0,0,"2023-01-16 07:37:07"
2021,52,นครปฐม,54,54,54,54,0,0,"2023-01-16 07:37:07"
2021,52,น่าน,54,54,54,54,0,0,"2023-01-16 07:37:07"
2021,52,ชัยภูมิ,45,45,45,45,0,0,"2023-01-16 07:37:07"
2021,52,หนองคาย,27,27,24,24,0,0,"2023-01-16 07:37:07"
2021,52,พระนครศรีอยุธยา,66,66,66,66,0,0,"2023-01-16 07:37:07"
2021,52,สระบุรี,87,87,87,87,0,0,"2023-01-16 07:37:07"
2022,1,พระนครศรีอยุธยา,669,735,669,735,0,0,"2023-01-16 07:37:07"
2022,1,สระบุรี,663,750,663,750,2,2,"2023-01-16 07:37:07"
2022,1,ยะลา,396,438,396,438,3,3,"2023-01-16 07:37:07"
2022,1,นครสวรรค์,876,954,876,954,4,5,"2023-01-16 07:37:07"
2022,1,สมุทรปราการ,6807,7059,6516,6744,1,1,"2023-01-16 07:37:07"
2022,1,หนองบัวลำภู,288,297,288,297,0,0,"2023-01-16 07:37:07"
2022,1,สุรินทร์,438,468,411,441,0,0,"2023-01-16 07:37:07"
2022,1,ปัตตานี,501,546,498,543,5,5,"2023-01-16 07:37:07"
2022,1,นราธิวาส,171,192,171,192,0,0,"2023-01-16 07:37:07"
2022,1,ระยอง,2082,2259,2052,2229,1,1,"2023-01-16 07:37:07"
2022,1,เชียงใหม่,4266,4482,4227,4434,7,7,"2023-01-16 07:37:07"
2022,1,สงขลา,1152,1305,1152,1305,4,4,"2023-01-16 07:37:07"
2022,1,บึงกาฬ,429,450,423,444,1,1,"2023-01-16 07:37:07"
2022,1,เชียงราย,462,522,423,483,4,4,"2023-01-16 07:37:07"
2022,1,ชลบุรี,15177,16101,14337,15204,1,1,"2023-01-16 07:37:07"
2022,1,สมุทรสงคราม,174,189,174,189,0,0,"2023-01-16 07:37:07"
2022,1,ชัยนาท,318,327,318,327,0,0,"2023-01-16 07:37:07"
2022,1,พิจิตร,186,192,186,192,0,0,"2023-01-16 07:37:07"
2022,1,อำนาจเจริญ,318,381,315,378,0,0,"2023-01-16 07:37:07"
2022,1,แพร่,168,213,165,210,0,0,"2023-01-16 07:37:07"
2022,1,ภูเก็ต,5478,5784,3906,4098,0,0,"2023-01-16 07:37:07"
2022,1,ขอนแก่น,4134,4431,4122,4419,4,4,"2023-01-16 07:37:07"
2022,1,ตาก,771,825,768,816,4,4,"2023-01-16 07:37:07"
2022,1,เพชรบูรณ์,594,654,591,651,0,0,"2023-01-16 07:37:07"
